EB Cry ( 0 events) was calibrated to avg: -85, 116, hash: 115	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 136, hash: 135	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 142, hash: 141	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 164, hash: 163	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 187, hash: 186	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 190, hash: 189	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 191, hash: 190	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 192, hash: 191	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 193, hash: 192	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 194, hash: 193	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 195, hash: 194	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 276, hash: 275	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 277, hash: 276	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -85, 278, hash: 277	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 55, hash: 414	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 85, hash: 444	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 191, hash: 550	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 192, hash: 551	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 193, hash: 552	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 194, hash: 553	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -84, 195, hash: 554	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 191, hash: 910	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 192, hash: 911	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 193, hash: 912	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 194, hash: 913	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 195, hash: 914	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -83, 280, hash: 999	 Calib: -1	 Error: -1
